project,revision,numberofbugs,days
ActiveMQ,586580,8,956
ActiveMQ,586581,1,0
ActiveMQ,587033,1,0
ActiveMQ,587051,1,0
ActiveMQ,587188,2,184
ActiveMQ,587396,1,0
ActiveMQ,587504,1,0
ActiveMQ,587927,1,0
ActiveMQ,588260,1,0
ActiveMQ,588725,1,0
ActiveMQ,588731,1,0
ActiveMQ,589314,3,82
ActiveMQ,590623,2,0
ActiveMQ,591113,2,118
ActiveMQ,591160,1,0
ActiveMQ,591442,3,164
ActiveMQ,592090,2,832
ActiveMQ,592114,1,0
ActiveMQ,592531,3,881
ActiveMQ,593204,2,1228
ActiveMQ,597581,2,56
ActiveMQ,599129,20,2107
ActiveMQ,599993,1,0
ActiveMQ,600891,6,1781
ActiveMQ,602440,2,168
ActiveMQ,602529,1,0
ActiveMQ,602553,2,470
ActiveMQ,602565,2,635
ActiveMQ,603762,1,0
ActiveMQ,603927,1,0
ActiveMQ,603952,1,0
ActiveMQ,604700,1,0
ActiveMQ,605671,4,1180
ActiveMQ,605698,4,695
ActiveMQ,605940,1,0
ActiveMQ,605944,1,0
ActiveMQ,607037,1,0
ActiveMQ,607038,7,1704
ActiveMQ,607317,2,2012
ActiveMQ,608034,1,0
ActiveMQ,609016,1,0
ActiveMQ,609606,1,0
ActiveMQ,610432,1,0
ActiveMQ,612459,3,2168
ActiveMQ,612542,4,480
ActiveMQ,612544,2,98
ActiveMQ,613230,11,695
ActiveMQ,613829,4,185
ActiveMQ,613830,5,737
ActiveMQ,614206,9,1662
ActiveMQ,614645,3,1555
ActiveMQ,615287,2,481
ActiveMQ,616506,1,0
ActiveMQ,616733,9,1858
ActiveMQ,617015,4,1421
ActiveMQ,618082,1,0
ActiveMQ,618621,14,1925
ActiveMQ,618655,1,0
ActiveMQ,618656,2,165
ActiveMQ,618689,1,0
ActiveMQ,618817,1,0
ActiveMQ,618981,7,907
ActiveMQ,619004,3,1180
ActiveMQ,619336,6,1315
ActiveMQ,619387,3,1512
ActiveMQ,628667,18,1624
ActiveMQ,628710,2,698
ActiveMQ,628778,1,0
ActiveMQ,629007,2,75
ActiveMQ,629631,1,0
ActiveMQ,629713,15,1861
ActiveMQ,629859,3,427
ActiveMQ,631237,4,685
ActiveMQ,631244,2,281
ActiveMQ,631537,1,0
ActiveMQ,631965,1,0
ActiveMQ,632269,1,0
ActiveMQ,632455,2,440
ActiveMQ,632651,1,0
ActiveMQ,632964,1,0
ActiveMQ,633570,1,0
ActiveMQ,633603,1,0
ActiveMQ,633800,10,1918
ActiveMQ,633976,7,2171
ActiveMQ,634411,5,607
ActiveMQ,634487,3,972
ActiveMQ,634588,2,416
ActiveMQ,634686,1,0
ActiveMQ,634797,1,0
ActiveMQ,635565,1,0
ActiveMQ,635682,3,1833
ActiveMQ,636106,1,0
ActiveMQ,636281,1,0
ActiveMQ,636422,4,1538
ActiveMQ,636428,1,0
ActiveMQ,636507,1,0
ActiveMQ,637006,1,0
ActiveMQ,637028,2,86
ActiveMQ,637218,1,0
ActiveMQ,637246,1,0
ActiveMQ,637879,3,448
ActiveMQ,637965,1,0
ActiveMQ,638233,1,0
ActiveMQ,638234,1,0
ActiveMQ,638235,1,0
ActiveMQ,638238,1,0
ActiveMQ,638596,1,0
ActiveMQ,638910,5,1206
ActiveMQ,638924,8,1833
ActiveMQ,638942,1,0
ActiveMQ,639030,2,107
ActiveMQ,639111,1,0
ActiveMQ,639388,1,0
ActiveMQ,639499,1,0
ActiveMQ,639532,2,75
ActiveMQ,639539,1,0
ActiveMQ,640336,1,0
ActiveMQ,640636,1,0
ActiveMQ,640641,3,1465
ActiveMQ,640890,4,511
ActiveMQ,641525,3,602
ActiveMQ,641548,1,0
ActiveMQ,642166,2,149
ActiveMQ,643390,5,1405
ActiveMQ,643439,1,0
ActiveMQ,643458,2,925
ActiveMQ,643529,3,264
ActiveMQ,643908,2,387
ActiveMQ,645288,1,0
ActiveMQ,645574,8,1646
ActiveMQ,645580,1,0
ActiveMQ,646219,1,0
ActiveMQ,646245,1,0
ActiveMQ,646248,1,0
ActiveMQ,646268,2,1090
ActiveMQ,646299,1,0
ActiveMQ,646332,1,0
ActiveMQ,646401,1,0
ActiveMQ,646422,2,591
ActiveMQ,646437,1,0
ActiveMQ,646803,1,0
ActiveMQ,647872,3,577
ActiveMQ,648727,2,854
ActiveMQ,649211,3,495
ActiveMQ,649551,2,1581
ActiveMQ,649579,1,0
ActiveMQ,649708,1,0
ActiveMQ,650143,9,2309
ActiveMQ,650392,1,0
ActiveMQ,650763,3,31
ActiveMQ,651300,2,602
ActiveMQ,651320,1,0
ActiveMQ,652111,1,0
ActiveMQ,652302,1,0
ActiveMQ,652303,1,0
ActiveMQ,652305,1,0
ActiveMQ,652438,1,0
ActiveMQ,652440,1,0
ActiveMQ,652598,1,0
ActiveMQ,655639,1,0
ActiveMQ,655805,2,391
ActiveMQ,656319,2,1899
ActiveMQ,656378,2,38
ActiveMQ,656582,1,0
ActiveMQ,656980,2,280
ActiveMQ,657059,1,0
ActiveMQ,657147,4,844
ActiveMQ,657817,6,798
ActiveMQ,658127,1,0
ActiveMQ,658154,4,169
ActiveMQ,658266,1,0
ActiveMQ,658637,3,613
ActiveMQ,659203,8,1451
ActiveMQ,660517,1,0
ActiveMQ,660555,1,0
ActiveMQ,660906,1,0
ActiveMQ,660977,2,1617
ActiveMQ,661295,4,742
ActiveMQ,661435,2,202
ActiveMQ,661661,3,968
ActiveMQ,663032,1,0
ActiveMQ,663048,1,0
ActiveMQ,663059,2,2510
ActiveMQ,663178,17,1823
ActiveMQ,663680,2,1225
ActiveMQ,663980,1,0
ActiveMQ,664079,1,0
ActiveMQ,664082,2,161
ActiveMQ,666607,2,352
ActiveMQ,666617,1,0
ActiveMQ,666793,3,1212
ActiveMQ,667105,4,1038
ActiveMQ,668146,3,1126
ActiveMQ,668559,3,1113
ActiveMQ,669263,1,0
ActiveMQ,669491,1,0
ActiveMQ,669512,1,0
ActiveMQ,669519,1,0
ActiveMQ,673157,1,0
ActiveMQ,674607,1,0
ActiveMQ,675104,1,0
ActiveMQ,675484,2,1211
ActiveMQ,675990,1,0
ActiveMQ,676636,1,0
ActiveMQ,676893,1,0
ActiveMQ,677944,2,301
ActiveMQ,680161,1,0
ActiveMQ,685806,8,375
ActiveMQ,685808,3,1759
ActiveMQ,685966,1,0
ActiveMQ,685971,1,0
ActiveMQ,685988,1,0
ActiveMQ,686217,1,0
ActiveMQ,686236,6,141
ActiveMQ,686264,1,0
ActiveMQ,687043,1,0
ActiveMQ,687399,3,76
ActiveMQ,687406,2,391
ActiveMQ,687427,1,0
ActiveMQ,687677,4,180
ActiveMQ,687861,1,0
ActiveMQ,688118,3,919
ActiveMQ,690144,3,180
ActiveMQ,690645,1,0
ActiveMQ,691114,8,1046
ActiveMQ,691124,1,0
ActiveMQ,691206,2,1506
ActiveMQ,691214,1,0
ActiveMQ,691621,3,177
ActiveMQ,691665,1,0
ActiveMQ,692009,2,31
ActiveMQ,692174,1,0
ActiveMQ,692181,2,837
ActiveMQ,692183,3,1179
ActiveMQ,692288,7,1354
ActiveMQ,692449,1,0
ActiveMQ,692539,1,0
ActiveMQ,693109,2,122
ActiveMQ,693431,2,613
ActiveMQ,693449,3,1363
ActiveMQ,693915,7,1267
ActiveMQ,694320,7,912
ActiveMQ,694679,1,0
ActiveMQ,694681,1,0
ActiveMQ,694781,2,337
ActiveMQ,696308,1,0
ActiveMQ,696370,4,654
ActiveMQ,697850,1,0
ActiveMQ,697921,2,9
ActiveMQ,697953,1,0
ActiveMQ,697957,1,0
ActiveMQ,698103,1,0
ActiveMQ,698573,1,0
ActiveMQ,698595,4,607
ActiveMQ,700823,1,0
ActiveMQ,701072,1,0
ActiveMQ,702152,1,0
ActiveMQ,703161,4,1158
ActiveMQ,703447,5,1211
ActiveMQ,704056,1,0
ActiveMQ,704846,3,1095
ActiveMQ,705281,2,368
ActiveMQ,706299,2,631
ActiveMQ,707415,2,1109
ActiveMQ,710109,2,235
ActiveMQ,712189,4,1460
ActiveMQ,712217,2,932
ActiveMQ,718224,4,694
ActiveMQ,718590,1,0
ActiveMQ,718592,1,0
ActiveMQ,718931,1,0
ActiveMQ,719350,2,611
ActiveMQ,722983,2,94
ActiveMQ,723614,1,0
ActiveMQ,725019,1,0
ActiveMQ,725020,1,0
ActiveMQ,725323,4,1307
ActiveMQ,726764,4,413
ActiveMQ,727017,3,774
ActiveMQ,728687,1,0
ActiveMQ,729038,2,1075
ActiveMQ,729437,3,567
ActiveMQ,729498,2,1152
ActiveMQ,729703,2,0
ActiveMQ,729803,8,1276
ActiveMQ,729939,1,0
ActiveMQ,730071,1,0
ActiveMQ,730596,1,0
ActiveMQ,730598,1,0
ActiveMQ,731529,1,0
ActiveMQ,731704,21,1541
ActiveMQ,732175,1,0
ActiveMQ,732182,1,0
ActiveMQ,732259,1,0
ActiveMQ,732489,2,43
ActiveMQ,733761,2,14
ActiveMQ,733811,2,194
ActiveMQ,735914,1,0
ActiveMQ,736720,3,783
ActiveMQ,737017,2,62
ActiveMQ,737062,1,0
ActiveMQ,738052,2,248
ActiveMQ,738421,1,0
ActiveMQ,738904,6,1693
ActiveMQ,739008,2,898
ActiveMQ,739961,1,0
ActiveMQ,740476,1,0
ActiveMQ,741061,1,0
ActiveMQ,741109,1,0
ActiveMQ,741137,1,0
ActiveMQ,741169,1,0
ActiveMQ,741212,3,145
ActiveMQ,741293,1,0
ActiveMQ,741327,1,0
ActiveMQ,741528,1,0
ActiveMQ,741659,2,340
ActiveMQ,741741,1,0
ActiveMQ,741769,2,955
ActiveMQ,742458,1,0
ActiveMQ,742888,1,0
ActiveMQ,743258,1,0
ActiveMQ,743320,1,0
ActiveMQ,743476,2,7
ActiveMQ,743741,1,0
ActiveMQ,743980,1,0
ActiveMQ,744975,1,0
ActiveMQ,745031,1,0
ActiveMQ,745108,1,0
ActiveMQ,745456,1,0
ActiveMQ,745926,1,0
ActiveMQ,745953,2,223
ActiveMQ,746251,2,0
ActiveMQ,747951,1,0
ActiveMQ,748218,1,0
ActiveMQ,749464,1,0
ActiveMQ,750455,1,0
ActiveMQ,750532,1,0
ActiveMQ,750537,1,0
ActiveMQ,753003,1,0
ActiveMQ,753214,1,0
ActiveMQ,753222,3,420
ActiveMQ,753297,1,0
ActiveMQ,753311,1,0
ActiveMQ,754963,1,0
ActiveMQ,755715,3,1048
ActiveMQ,755716,1,0
ActiveMQ,756565,1,0
ActiveMQ,757438,1,0
ActiveMQ,758329,1,0
ActiveMQ,758450,1,0
ActiveMQ,758678,8,1274
ActiveMQ,758737,1,0
ActiveMQ,758785,1,0
ActiveMQ,759125,4,894
ActiveMQ,760028,1,0
ActiveMQ,760075,2,264
ActiveMQ,760721,1,0
ActiveMQ,761301,1,0
ActiveMQ,761597,1,0
ActiveMQ,762464,2,24
ActiveMQ,762996,6,1029
ActiveMQ,763565,3,741
ActiveMQ,763983,5,1288
ActiveMQ,763993,5,1721
ActiveMQ,764377,2,556
ActiveMQ,764403,1,0
ActiveMQ,765133,3,298
ActiveMQ,768219,1,0
ActiveMQ,768300,1,0
