project,bug,bug-introducing_changes,days
ActiveMQ,AMQ-2867,3,1420
ActiveMQ,AMQ-2868,18,2365
ActiveMQ,AMQ-2869,2,83
ActiveMQ,AMQ-2870,11,1340
ActiveMQ,AMQ-2872,1,0
ActiveMQ,AMQ-2876,1,0
ActiveMQ,AMQ-2877,5,878
ActiveMQ,AMQ-2880,4,1733
ActiveMQ,AMQ-2883,5,1594
ActiveMQ,AMQ-2889,2,832
ActiveMQ,AMQ-2892,2,910
ActiveMQ,AMQ-2897,4,477
ActiveMQ,AMQ-2900,1,0
ActiveMQ,AMQ-2902,4,1096
ActiveMQ,AMQ-2904,3,41
ActiveMQ,AMQ-2910,2,33
ActiveMQ,AMQ-2919,1,0
ActiveMQ,AMQ-2929,4,1045
ActiveMQ,AMQ-2935,1,0
ActiveMQ,AMQ-2939,1,0
ActiveMQ,AMQ-2942,2,1108
ActiveMQ,AMQ-2948,11,1613
ActiveMQ,AMQ-2950,8,1763
ActiveMQ,AMQ-2952,10,1630
ActiveMQ,AMQ-2963,3,1096
ActiveMQ,AMQ-2965,6,1703
ActiveMQ,AMQ-2966,2,1159
ActiveMQ,AMQ-2967,1,0
ActiveMQ,AMQ-2970,17,1777
ActiveMQ,AMQ-2971,4,1894
ActiveMQ,AMQ-2973,2,274
ActiveMQ,AMQ-2980,36,1795
ActiveMQ,AMQ-2981,3,1299
ActiveMQ,AMQ-2982,1,0
ActiveMQ,AMQ-2983,2,1621
ActiveMQ,AMQ-2985,50,1810
ActiveMQ,AMQ-2993,3,1233
ActiveMQ,AMQ-2999,1,0
ActiveMQ,AMQ-3000,1,0
ActiveMQ,AMQ-3004,5,1909
ActiveMQ,AMQ-3006,1,0
ActiveMQ,AMQ-3012,4,1894
ActiveMQ,AMQ-3013,12,1648
ActiveMQ,AMQ-3014,11,1967
ActiveMQ,AMQ-3016,1,0
ActiveMQ,AMQ-3020,6,1186
ActiveMQ,AMQ-3021,11,1794
ActiveMQ,AMQ-3022,4,1795
ActiveMQ,AMQ-3023,4,1433
ActiveMQ,AMQ-3028,3,21
ActiveMQ,AMQ-3031,7,1622
ActiveMQ,AMQ-3033,1,0
ActiveMQ,AMQ-3036,1,0
ActiveMQ,AMQ-3038,1,0
ActiveMQ,AMQ-3040,3,1371
ActiveMQ,AMQ-3049,2,781
ActiveMQ,AMQ-3052,1,0
ActiveMQ,AMQ-3062,4,1740
ActiveMQ,AMQ-3071,1,0
ActiveMQ,AMQ-3075,1,0
ActiveMQ,AMQ-3076,2,169
